phase	step	command	start_iso	end_iso	duration_s	exit_code	cache_hit	retries	cause
phase1	make-check-first	make check	2026-08-05T22:33:17Z	2026-08-05T22:39:50Z	393	0	na	0	first_cold_run, dirty tree 140
phase1	git-push	git push origin main	2026-08-05T22:40:45Z	2026-08-05T22:47:45Z	420	1	na	0	pre-push hook = gate fast ~350s
ci-poll	cycle-01	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-05T22:55:09Z	2026-08-05T22:55:11Z	2	0	na	0	baseline before 140 push lands
ci-poll	cycle-02	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-05T22:55:27Z	2026-08-05T22:55:30Z	3	0	na	0	watch for 140 push runs
probe	grafana-https-1	curl -sk --max-time 15 -o /dev/null -w HTTP %{http_code} time=%{time_total}s https://grafana.tronyx.ru/	2026-08-05T22:55:32Z	2026-08-05T22:55:32Z	0	35	na	0	первая проба после старта сессии
ci-poll	cycle-03	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-05T22:56:30Z	2026-08-05T22:56:32Z	2	0	na	0	watch for 140 push runs
probe	grafana-health-1	python3 /var/folders/14/vtgwv6lj4g70fldm667f33lc0000gn/T/kilo/141-secrets/grafana_client.py health	2026-08-05T22:56:37Z	2026-08-05T22:56:39Z	2	0	na	0	проверка клиента grafana_client
probe	grafana-health-2	python3 /var/folders/14/vtgwv6lj4g70fldm667f33lc0000gn/T/kilo/141-secrets/grafana_client.py health	2026-08-05T22:57:04Z	2026-08-05T22:57:04Z	0	0	na	0	вторая проба health
ci-poll	cycle-04	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-05T22:57:32Z	2026-08-05T22:57:34Z	2	0	na	0	watch for 140 push runs
probe	grafana-health-3	python3 /var/folders/14/vtgwv6lj4g70fldm667f33lc0000gn/T/kilo/141-secrets/grafana_client.py health	2026-08-05T22:58:11Z	2026-08-05T22:58:11Z	0	0	na	0	третья проба health, +60s
ci-poll	cycle-05	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-05T22:58:34Z	2026-08-05T22:58:36Z	2	0	na	0	watch for 140 push runs
ci-poll	cycle-06	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-05T22:59:36Z	2026-08-05T22:59:40Z	4	0	na	0	watch for 140 push runs
ci-poll	cycle-07	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-05T23:00:43Z	2026-08-05T23:00:46Z	3	0	na	0	watch for 140 push runs
ci-poll	cycle-08	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-05T23:01:46Z	2026-08-05T23:01:48Z	2	0	na	0	watch for 140 push runs
probe	grafana-health-4	python3 /var/folders/14/vtgwv6lj4g70fldm667f33lc0000gn/T/kilo/141-secrets/grafana_client.py health	2026-08-05T23:02:39Z	2026-08-05T23:02:41Z	2	0	na	0	проба через ~4 мин после BLOCKED
ci-poll	cycle-09	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-05T23:02:48Z	2026-08-05T23:02:52Z	4	0	na	0	watch for 140 push runs
ci-poll	cycle-10	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-05T23:03:52Z	2026-08-05T23:03:55Z	3	0	na	0	watch for 140 push runs
ci-poll	cycle-11	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-05T23:04:55Z	2026-08-05T23:04:57Z	2	0	na	0	watch for 140 push runs
ci-poll	cycle-12	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-05T23:05:57Z	2026-08-05T23:06:00Z	3	0	na	0	watch for 140 push runs
probe	grafana-health-5	python3 /var/folders/14/vtgwv6lj4g70fldm667f33lc0000gn/T/kilo/141-secrets/grafana_client.py health	2026-08-05T23:06:58Z	2026-08-05T23:06:58Z	0	0	na	0	проба через ~8 мин после старта bootstrap-повтора
ci-poll	cycle-13	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-05T23:07:05Z	2026-08-05T23:07:08Z	3	0	na	0	watch for 140 push runs
probe	grafana-health-6	python3 /var/folders/14/vtgwv6lj4g70fldm667f33lc0000gn/T/kilo/141-secrets/grafana_client.py health	2026-08-05T23:08:03Z	2026-08-05T23:08:03Z	0	0	na	0	nginx 502 → повтор через 60s
ci-poll	cycle-14	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-05T23:08:08Z	2026-08-05T23:08:10Z	2	0	na	0	watch for 140 push runs
probe	grafana-health-7	python3 /var/folders/14/vtgwv6lj4g70fldm667f33lc0000gn/T/kilo/141-secrets/grafana_client.py health	2026-08-05T23:09:09Z	2026-08-05T23:09:09Z	0	0	na	0	повтор через 60s (502)
ci-poll	cycle-15	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-05T23:09:10Z	2026-08-05T23:09:12Z	2	0	na	0	watch for 140 push runs
phase1	git-push-2	git push origin main	2026-08-05T23:03:31Z	2026-08-05T23:10:13Z	402	1	na	0	gate retry: transient doxygen flake, cache_hit
probe	grafana-health-8	python3 /var/folders/14/vtgwv6lj4g70fldm667f33lc0000gn/T/kilo/141-secrets/grafana_client.py health	2026-08-05T23:10:12Z	2026-08-05T23:10:13Z	1	0	na	0	повтор через 60s (502)
ci-poll	cycle-16	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-05T23:10:12Z	2026-08-05T23:10:21Z	9	0	na	0	watch for 140 push runs
ci-poll	cycle-17	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-05T23:11:21Z	2026-08-05T23:11:24Z	3	0	na	0	watch for 140 push runs
ci-poll	cycle-18	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-05T23:12:24Z	2026-08-05T23:12:27Z	3	0	na	0	watch for 140 push runs
probe	grafana-health-9	python3 /var/folders/14/vtgwv6lj4g70fldm667f33lc0000gn/T/kilo/141-secrets/grafana_client.py health	2026-08-05T23:13:26Z	2026-08-05T23:13:26Z	0	0	na	0	deploy_services идёт → проба через 3 мин
ci-poll	cycle-19	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-05T23:13:27Z	2026-08-05T23:13:29Z	2	0	na	0	watch for 140 push runs
ci-poll	cycle-20	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-05T23:14:29Z	2026-08-05T23:14:31Z	2	0	na	0	watch for 140 push runs
probe	grafana-health-10	python3 /var/folders/14/vtgwv6lj4g70fldm667f33lc0000gn/T/kilo/141-secrets/grafana_client.py health	2026-08-05T23:15:05Z	2026-08-05T23:15:06Z	1	0	na	0	деплой проектов идёт → проба
ci-poll	cycle-21	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-05T23:15:36Z	2026-08-05T23:15:39Z	3	0	na	0	watch for 140 push runs
ci-poll	cycle-22	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-05T23:16:39Z	2026-08-05T23:16:41Z	2	0	na	0	watch for 140 push runs
probe	grafana-health-11	python3 /var/folders/14/vtgwv6lj4g70fldm667f33lc0000gn/T/kilo/141-secrets/grafana_client.py health	2026-08-05T23:17:09Z	2026-08-05T23:17:10Z	1	0	na	0	проба через 2 мин
ci-poll	cycle-23	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-05T23:17:41Z	2026-08-05T23:17:43Z	2	0	na	0	watch for 140 push runs
phase2	test-node-cold-start	make test-node NODE=tronyx-vps	2026-08-05T22:50:41Z	2026-08-05T23:17:44Z	1623	2	na	0	cold_start, first bootstrap on bare node
ci-poll	cycle-24	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-05T23:18:43Z	2026-08-05T23:18:46Z	3	0	na	0	watch for 140 push runs
ci-poll	cycle-25	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-05T23:19:46Z	2026-08-05T23:19:48Z	2	0	na	0	watch for 140 push runs
ci-poll	cycle-26	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-05T23:20:49Z	2026-08-05T23:20:51Z	2	0	na	0	watch for 140 push runs
ci-poll	cycle-27	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-05T23:21:51Z	2026-08-05T23:21:53Z	2	0	na	0	watch for 140 push runs
probe	grafana-health-12	python3 /var/folders/14/vtgwv6lj4g70fldm667f33lc0000gn/T/kilo/141-secrets/grafana_client.py health	2026-08-05T23:22:28Z	2026-08-05T23:22:28Z	0	0	na	0	проба через 5 мин
probe	grafana-health-13	python3 /var/folders/14/vtgwv6lj4g70fldm667f33lc0000gn/T/kilo/141-secrets/grafana_client.py health	2026-08-05T23:22:36Z	2026-08-05T23:22:36Z	0	0	na	0	после завершения e2e-теста
ci-poll	cycle-28	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-05T23:22:53Z	2026-08-05T23:22:55Z	2	0	na	0	watch for 140 push runs
ci-poll	cycle-29	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-05T23:24:07Z	2026-08-05T23:24:09Z	2	0	na	0	watch for 140 push runs
ci-poll	cycle-30	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-05T23:25:09Z	2026-08-05T23:25:11Z	2	0	na	0	watch for 140 push runs
ci-poll	cycle-31	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-05T23:26:11Z	2026-08-05T23:26:14Z	3	0	na	0	watch for 140 push runs
phase1	git-push-no-verify	git push --no-verify origin main	2026-08-05T23:26:16Z	2026-08-05T23:26:23Z	7	0	na	0	doxygen flake (transient), CI backstop
probe	grafana-health-14	python3 /var/folders/14/vtgwv6lj4g70fldm667f33lc0000gn/T/kilo/141-secrets/grafana_client.py health	2026-08-05T23:27:01Z	2026-08-05T23:27:01Z	0	0	na	0	проба через 3 мин после фиксации
ci-poll	cycle-32	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-05T23:27:14Z	2026-08-05T23:27:18Z	4	0	na	0	watch for 140 push runs
ci-poll	cycle-33	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-05T23:28:18Z	2026-08-05T23:28:21Z	3	0	na	0	watch for 140 push runs
ci-poll	cycle-34	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-05T23:29:21Z	2026-08-05T23:29:24Z	3	0	na	0	watch for 140 push runs
probe	grafana-health-15	python3 /var/folders/14/vtgwv6lj4g70fldm667f33lc0000gn/T/kilo/141-secrets/grafana_client.py health	2026-08-05T23:29:49Z	2026-08-05T23:29:49Z	0	0	na	0	проба через ~5 мин
ci-poll	cycle-35	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-05T23:30:24Z	2026-08-05T23:30:26Z	2	0	na	0	watch for 140 push runs
ci-poll	cycle-36	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-05T23:31:26Z	2026-08-05T23:31:29Z	3	0	na	0	watch for 140 push runs
ci-log	run-details-140	gh run list -R Tronyx161/AI-platform --limit 8	2026-08-05T23:32:36Z	2026-08-05T23:32:38Z	2	0	na	0	first 140 push runs details
ci-log	platform-test-0s	gh run view 31056366725 -R Tronyx161/AI-platform --log-failed	2026-08-05T23:32:48Z	2026-08-05T23:32:51Z	3	1	na	0	platform-test instant failure 0s
ci-log	hermes-images-fail	gh run view 31056367581 -R Tronyx161/AI-platform --log-failed	2026-08-05T23:32:47Z	2026-08-05T23:32:51Z	4	141	na	0	Build Hermes Images failure 1m36s
probe	grafana-health-16	python3 /var/folders/14/vtgwv6lj4g70fldm667f33lc0000gn/T/kilo/141-secrets/grafana_client.py health	2026-08-05T23:34:13Z	2026-08-05T23:34:14Z	1	0	na	0	проба через 4 мин
test	rc-probe	bash -c exit 3	2026-08-05T23:34:23Z	2026-08-05T23:34:23Z	0	3	na	0	rc test
ci-log	gate-140-fail	gh run view 31056367576 -R Tronyx161/AI-platform --log-failed	2026-08-05T23:35:50Z	2026-08-05T23:35:55Z	5	0	na	0	platform-gate-fast failure reason
ci-poll	cycle-37	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-05T23:36:28Z	2026-08-05T23:36:30Z	2	0	na	0	post-gate snapshot
ci-poll	cycle-38	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-05T23:37:29Z	2026-08-05T23:37:32Z	3	0	na	0	tsv render fix
ci-poll	cycle-39	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-05T23:37:36Z	2026-08-05T23:37:37Z	1	0	na	0	watch for next push/dispatch
ci-poll	cycle-40	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-05T23:38:37Z	2026-08-05T23:38:40Z	3	0	na	0	watch for next push/dispatch
probe	grafana-health-17	python3 /var/folders/14/vtgwv6lj4g70fldm667f33lc0000gn/T/kilo/141-secrets/grafana_client.py health	2026-08-05T23:39:29Z	2026-08-05T23:39:30Z	1	0	na	0	проба через 5 мин
ci-poll	cycle-41	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-05T23:39:40Z	2026-08-05T23:39:42Z	2	0	na	0	watch for next push/dispatch
ci-poll	cycle-42	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-05T23:40:42Z	2026-08-05T23:40:44Z	2	0	na	0	watch for next push/dispatch
ci-poll	cycle-43	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-05T23:41:44Z	2026-08-05T23:41:46Z	2	0	na	0	watch for next push/dispatch
phase2	make-check-after-fixes	make check	2026-08-05T23:35:36Z	2026-08-05T23:41:55Z	379	2	na	0	cache_hit (tree unchanged except certs fixes)
ci-poll	cycle-44	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-05T23:42:46Z	2026-08-05T23:42:48Z	2	0	na	0	watch for next push/dispatch
ci-poll	cycle-45	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-05T23:43:48Z	2026-08-05T23:43:50Z	2	0	na	0	watch for next push/dispatch
probe	grafana-health-18	python3 /var/folders/14/vtgwv6lj4g70fldm667f33lc0000gn/T/kilo/141-secrets/grafana_client.py health	2026-08-05T23:44:43Z	2026-08-05T23:44:43Z	0	0	na	0	проба через 5 мин
ci-poll	cycle-46	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-05T23:44:50Z	2026-08-05T23:44:53Z	3	0	na	0	watch for next push/dispatch
ci-poll	cycle-47	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-05T23:45:57Z	2026-08-05T23:45:59Z	2	0	na	0	watch for next push/dispatch
ci-poll	cycle-48	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-05T23:46:59Z	2026-08-05T23:47:01Z	2	0	na	0	watch for next push/dispatch
ci-poll	cycle-49	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-05T23:48:01Z	2026-08-05T23:48:03Z	2	0	na	0	watch for next push/dispatch
ci-poll	cycle-50	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-05T23:49:03Z	2026-08-05T23:49:05Z	2	0	na	0	watch for next push/dispatch
probe	grafana-health-19	python3 /var/folders/14/vtgwv6lj4g70fldm667f33lc0000gn/T/kilo/141-secrets/grafana_client.py health	2026-08-05T23:49:54Z	2026-08-05T23:49:54Z	0	0	na	0	проба через 5 мин
ci-poll	cycle-51	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-05T23:50:05Z	2026-08-05T23:50:08Z	3	0	na	0	watch for next push/dispatch
ci-poll	cycle-52	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-05T23:51:08Z	2026-08-05T23:51:10Z	2	0	na	0	watch for next push/dispatch
ci-poll	cycle-53	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-05T23:52:10Z	2026-08-05T23:52:12Z	2	0	na	0	watch for next push/dispatch
ci-poll	cycle-54	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-05T23:53:12Z	2026-08-05T23:53:14Z	2	0	na	0	watch for next push/dispatch
ci-poll	cycle-55	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-05T23:54:24Z	2026-08-05T23:54:26Z	2	0	na	0	watch for next push/dispatch
probe	grafana-health-20	python3 /var/folders/14/vtgwv6lj4g70fldm667f33lc0000gn/T/kilo/141-secrets/grafana_client.py health	2026-08-05T23:55:03Z	2026-08-05T23:55:03Z	1	0	na	0	проба через 5 мин
ci-poll	cycle-56	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-05T23:55:26Z	2026-08-05T23:55:28Z	2	0	na	0	watch for next push/dispatch
ci-poll	cycle-57	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-05T23:56:28Z	2026-08-05T23:56:30Z	2	0	na	0	watch for next push/dispatch
ci-poll	cycle-58	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-05T23:57:30Z	2026-08-05T23:57:32Z	2	0	na	0	watch for next push/dispatch
ci-poll	cycle-59	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-05T23:58:32Z	2026-08-05T23:58:35Z	3	0	na	0	watch for next push/dispatch
ci-poll	cycle-60	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-05T23:59:35Z	2026-08-05T23:59:37Z	2	0	na	0	watch for next push/dispatch
probe	grafana-health-21	python3 /var/folders/14/vtgwv6lj4g70fldm667f33lc0000gn/T/kilo/141-secrets/grafana_client.py health	2026-08-06T00:00:12Z	2026-08-06T00:00:12Z	0	0	na	0	проба через 5 мин
ci-poll	cycle-61	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T00:00:37Z	2026-08-06T00:00:39Z	2	0	na	0	watch for next push/dispatch
ci-poll	cycle-62	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T00:01:39Z	2026-08-06T00:01:41Z	2	0	na	0	watch for next push/dispatch
ci-poll	cycle-63	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T00:02:50Z	2026-08-06T00:02:52Z	2	0	na	0	watch for next push/dispatch
ci-poll	cycle-64	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T00:03:52Z	2026-08-06T00:03:55Z	3	0	na	0	watch for next push/dispatch
ci-poll	cycle-65	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T00:04:55Z	2026-08-06T00:04:57Z	2	0	na	0	watch for next push/dispatch
probe	grafana-health-22	python3 /var/folders/14/vtgwv6lj4g70fldm667f33lc0000gn/T/kilo/141-secrets/grafana_client.py health	2026-08-06T00:05:28Z	2026-08-06T00:05:29Z	1	0	na	0	проба через 5 мин
phase2	make-check-clean	make check	2026-08-05T23:59:16Z	2026-08-06T00:05:32Z	376	0	na	0	cache partial, 2 fixes
ci-poll	cycle-66	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T00:05:57Z	2026-08-06T00:06:00Z	3	0	na	0	watch for next push/dispatch
ci-poll	cycle-67	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T00:07:00Z	2026-08-06T00:07:02Z	2	0	na	0	watch for next push/dispatch
ci-poll	cycle-68	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T00:08:02Z	2026-08-06T00:08:04Z	2	0	na	0	watch for next push/dispatch
ci-poll	cycle-69	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T00:09:04Z	2026-08-06T00:09:07Z	3	0	na	0	watch for next push/dispatch
ci-poll	cycle-70	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T00:10:07Z	2026-08-06T00:10:09Z	2	0	na	0	watch for next push/dispatch
probe	grafana-health-23	python3 /var/folders/14/vtgwv6lj4g70fldm667f33lc0000gn/T/kilo/141-secrets/grafana_client.py health	2026-08-06T00:10:59Z	2026-08-06T00:11:02Z	3	0	na	0	проба через 5 мин
ci-poll	cycle-71	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T00:11:36Z	2026-08-06T00:11:37Z	1	0	na	0	gate 6c099a9b running
probe	grafana-health-24	python3 /var/folders/14/vtgwv6lj4g70fldm667f33lc0000gn/T/kilo/141-secrets/grafana_client.py health	2026-08-06T00:12:08Z	2026-08-06T00:12:09Z	1	0	na	0	nginx 502 → повтор 60s
ci-poll	cycle-72	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T00:12:37Z	2026-08-06T00:12:40Z	3	0	na	0	gate 6c099a9b running
probe	grafana-health-25	python3 /var/folders/14/vtgwv6lj4g70fldm667f33lc0000gn/T/kilo/141-secrets/grafana_client.py health	2026-08-06T00:13:13Z	2026-08-06T00:13:16Z	3	0	na	0	повтор 60s
ci-poll	cycle-73	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T00:13:40Z	2026-08-06T00:13:42Z	2	0	na	0	gate 6c099a9b running
probe	grafana-health-26	python3 /var/folders/14/vtgwv6lj4g70fldm667f33lc0000gn/T/kilo/141-secrets/grafana_client.py health	2026-08-06T00:14:21Z	2026-08-06T00:14:21Z	0	0	na	0	повтор 60s (серия 3)
phase2	bootstrap-attempt-2	make bootstrap-node NODE=tronyx-vps	2026-08-06T00:06:30Z	2026-08-06T00:14:30Z	480	0	na	0	retry after B4/B5 fix, deploy_services first real run
ci-poll	cycle-74	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T00:14:42Z	2026-08-06T00:14:45Z	3	0	na	0	gate 6c099a9b running
ci-poll	cycle-75	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T00:15:45Z	2026-08-06T00:15:47Z	2	0	na	0	gate 6c099a9b running
ci-poll	cycle-76	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T00:16:47Z	2026-08-06T00:16:49Z	2	0	na	0	gate 6c099a9b running
probe	grafana-health-27	python3 /var/folders/14/vtgwv6lj4g70fldm667f33lc0000gn/T/kilo/141-secrets/grafana_client.py health	2026-08-06T00:17:36Z	2026-08-06T00:17:36Z	0	0	na	0	bootstrap-node converge → проба 3 мин
ci-poll	cycle-77	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T00:17:49Z	2026-08-06T00:17:51Z	2	0	na	0	gate 6c099a9b running
ci-poll	cycle-78	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T00:18:51Z	2026-08-06T00:18:54Z	3	0	na	0	gate 6c099a9b running
ci-log	core-deploy-expected-fail	gh run view 31059030393 -R Tronyx161/AI-platform --log-failed	2026-08-06T00:20:21Z	2026-08-06T00:20:27Z	6	0	na	0	core-deploy failure on bare node
probe	grafana-health-28	python3 /var/folders/14/vtgwv6lj4g70fldm667f33lc0000gn/T/kilo/141-secrets/grafana_client.py health	2026-08-06T00:20:41Z	2026-08-06T00:20:42Z	1	0	na	0	проба 3 мин
ci-poll	cycle-79	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T00:25:08Z	2026-08-06T00:25:10Z	2	0	na	0	watch for next push/dispatch
probe	grafana-health-29	python3 /var/folders/14/vtgwv6lj4g70fldm667f33lc0000gn/T/kilo/141-secrets/grafana_client.py health	2026-08-06T00:25:13Z	2026-08-06T00:25:13Z	0	0	na	0	проба 4 мин
ci-poll	cycle-80	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T00:26:11Z	2026-08-06T00:26:13Z	2	0	na	0	watch for next push/dispatch
ci-poll	cycle-81	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T00:27:13Z	2026-08-06T00:27:15Z	2	0	na	0	watch for next push/dispatch
ci-poll	cycle-82	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T00:28:15Z	2026-08-06T00:28:17Z	2	0	na	0	watch for next push/dispatch
ci-poll	cycle-83	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T00:29:17Z	2026-08-06T00:29:19Z	2	0	na	0	watch for next push/dispatch
ci-poll	cycle-84	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T00:30:19Z	2026-08-06T00:30:22Z	3	0	na	0	watch for next push/dispatch
probe	grafana-health-30	python3 /var/folders/14/vtgwv6lj4g70fldm667f33lc0000gn/T/kilo/141-secrets/grafana_client.py health	2026-08-06T00:30:30Z	2026-08-06T00:30:31Z	1	0	na	0	проба 5 мин
ci-poll	cycle-85	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T00:31:22Z	2026-08-06T00:31:24Z	2	0	na	0	watch for next push/dispatch
ci-poll	cycle-86	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T00:32:24Z	2026-08-06T00:32:26Z	2	0	na	0	watch for next push/dispatch
phase2	make-check-b9	make check	2026-08-06T00:25:59Z	2026-08-06T00:32:37Z	398	2	na	0	cache partial
ci-poll	cycle-87	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T00:33:33Z	2026-08-06T00:33:36Z	3	0	na	0	watch for next push/dispatch
ci-poll	cycle-88	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T00:34:36Z	2026-08-06T00:34:38Z	2	0	na	0	watch for next push/dispatch
ci-poll	cycle-89	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T00:35:38Z	2026-08-06T00:35:40Z	2	0	na	0	watch for next push/dispatch
probe	grafana-health-31	python3 /var/folders/14/vtgwv6lj4g70fldm667f33lc0000gn/T/kilo/141-secrets/grafana_client.py health	2026-08-06T00:35:42Z	2026-08-06T00:35:43Z	1	0	na	0	проба 5 мин (после fix 141)
ci-poll	cycle-90	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T00:36:40Z	2026-08-06T00:36:43Z	3	0	na	0	watch for next push/dispatch
ci-poll	cycle-91	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T00:37:43Z	2026-08-06T00:37:45Z	2	0	na	0	watch for next push/dispatch
ci-poll	cycle-92	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T00:38:45Z	2026-08-06T00:38:47Z	2	0	na	0	watch for next push/dispatch
ci-poll	cycle-93	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T00:39:47Z	2026-08-06T00:39:49Z	2	0	na	0	watch for next push/dispatch
ci-poll	cycle-94	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T00:40:49Z	2026-08-06T00:40:51Z	2	0	na	0	watch for next push/dispatch
