file,line,snippet,call_type,consolidation_wave
"core/modules/hermes-agent/watchdog/platform-agent-watchdog.sh",336,"    if echo ""$new_json"" | python3 -c ""import sys,json; d=json.load(sys.stdin); sys.exit(0 if d.get('circuit_open',False) else 1)"" 2>/dev/null; then",python3 -c,W5
"core/internal/notify/notify-hook.sh",86,"    encoded=""$(python3 -c ""import urllib.parse; print(urllib.parse.quote('''${text}''', safe=''))"" 2>/dev/null || echo ""${text}"")""",python3 -c,W5
"core/internal/validate/validate.sh",50,"    elif command -v python3 &>/dev/null && python3 -c ""import jsonschema"" &>/dev/null 2>&1; then",python3 -c,W5
"core/internal/validate/validate.sh",70,"    if ! python3 -c """,python3 -c,W5
"core/internal/validate/validate.sh",275,"        host_port=""$(python3 -c """,python3 -c,W5
"core/internal/deploy/reconcile-projects.sh",90,"    project_count=""$(echo ""${projects_json}"" | python3 -c ""import json,sys; print(len(json.load(sys.stdin)))"" 2>/dev/null || echo ""0"")""",python3 -c,W5
"core/internal/deploy/reconcile-projects.sh",109,"        proj_name=""$(echo ""${proj_entry}"" | python3 -c ""import json,sys; print(json.load(sys.stdin).get('name',''))"" 2>/dev/null || true)""",python3 -c,W5
"core/internal/deploy/reconcile-projects.sh",111,"        proj_org=""$(echo ""${proj_entry}"" | python3 -c ""import json,sys; print(json.load(sys.stdin).get('org',''))"" 2>/dev/null || true)""",python3 -c,W5
"core/internal/deploy/reconcile-projects.sh",113,"        proj_domain=""$(echo ""${proj_entry}"" | python3 -c ""import json,sys; print(json.load(sys.stdin).get('domain',''))"" 2>/dev/null || true)""",python3 -c,W5
"core/internal/deploy/reconcile-projects.sh",195,"                    ssh_host=""$(echo ""${NODE_HOST_MAP}"" | python3 -c ""import json,sys; m=json.load(sys.stdin); print(m.get('${node_name}',''))"" 2>/dev/null || true)""",python3 -c,W5
"core/internal/deploy/reconcile-projects.sh",248,"    done <<< ""$(echo ""${projects_json}"" | python3 -c """,python3 -c,W5
"core/internal/verify/verify-domains.sh",113,"    python3 -c """,python3 -c,W5
"core/internal/verify/verify-domains.sh",148,"    done < <(python3 -c """,python3 -c,W5
"core/internal/provision-environment.sh",75,"        yq -o=json ""$yaml_path"" 2>/dev/null | python3 -c """,python3 -c,W5
"core/internal/provision-environment.sh",125,"        net_name=$(echo ""$line"" | python3 -c ""import json,sys; print(json.load(sys.stdin).get('name',''))"" 2>/dev/null)",python3 -c,W5
"core/internal/provision-environment.sh",127,"        net_driver=$(echo ""$line"" | python3 -c ""import json,sys; print(json.load(sys.stdin).get('driver','bridge'))"" 2>/dev/null)",python3 -c,W5
"core/internal/provision-environment.sh",144,"    done < <(echo ""$networks_json"" | python3 -c """,python3 -c,W5
"core/internal/provision-environment.sh",173,"        vol_path=$(echo ""$line"" | python3 -c ""import json,sys; print(json.load(sys.stdin).get('path',''))"" 2>/dev/null)",python3 -c,W5
"core/internal/provision-environment.sh",194,"    done < <(echo ""$volumes_json"" | python3 -c """,python3 -c,W5
"core/internal/provision-environment.sh",221,"        echo ""$env_json"" | python3 -c """,python3 -c,W5
"core/internal/provision-environment.sh",227,"        count=$(echo ""$env_json"" | python3 -c ""import json,sys; print(len(json.load(sys.stdin)))"" 2>/dev/null)",python3 -c,W5
"core/internal/provision-environment.sh",235,"        echo ""$env_json"" | python3 -c """,python3 -c,W5
"core/internal/provision-environment.sh",241,"        count=$(echo ""$env_json"" | python3 -c ""import json,sys; print(len(json.load(sys.stdin)))"" 2>/dev/null)",python3 -c,W5
"core/internal/provision-environment.sh",246,"        echo ""$env_json"" | python3 -c """,python3 -c,W5
"core/internal/provision-environment.sh",267,"    count=$(echo ""$profiles_json"" | python3 -c ""import json,sys; print(len(json.load(sys.stdin)))"" 2>/dev/null)",python3 -c,W5
"core/internal/provision-environment.sh",413,"        env_count=$(echo ""$_env_json"" | python3 -c ""import json,sys; print(len(json.load(sys.stdin)))"" 2>/dev/null) || env_count=0",python3 -c,W5
"core/internal/hooks/check-no-new-inline-python3.sh",4,"## @purpose  Pre-commit hook: блокирует добавление НОВЫХ `python3 -c` / heredoc в shell-файлах под core/.",python3 -c,W5
"core/internal/hooks/check-no-new-inline-python3.sh",35,"        if echo ""$content"" | grep -qE 'python3 -c|python3 - <<|python3 <<EOF|python3 <<PYEOF'; then",heredoc,W5
"core/internal/bootstrap/deploy-modules.sh",48,"    python3 -c """,python3 -c,W4-done
"core/internal/bootstrap/deploy-modules.sh",250,"    context_repo_url=$(python3 -c """,python3 -c,W4-done
"core/internal/bootstrap/deploy-modules.sh",530,"    _orphan_lines=$(python3 -c """,python3 -c,W4-done
"core/internal/bootstrap/deploy-modules.sh",648,"    python3 - <<PYEOF",heredoc,W4-done
"core/internal/bootstrap/deploy-modules.sh",684,"    python3 -c """,python3 -c,W4-done
"core/internal/bootstrap/deploy-modules.sh",704,"    python3 -c """,python3 -c,W4-done
"core/internal/bootstrap/deploy-modules.sh",720,"    python3 -c """,python3 -c,W4-done
"core/internal/bootstrap/deploy-modules.sh",760,"    _missing=$(python3 -c """,python3 -c,W4-done
"core/internal/bootstrap/deploy-modules.sh",818,"    python3 -c """,python3 -c,W4-done
"core/internal/bootstrap/deploy-modules.sh",859,"    python3 -c """,python3 -c,W4-done
"core/internal/bootstrap/deploy-modules.sh",1201,"    _batch_orphans=$(python3 -c """,python3 -c,W4-done
"core/internal/bootstrap/deploy-modules.sh",1359,"        _domain=$(python3 -c ""import yaml; print(yaml.safe_load(open('$NODE_YAML')).get('domain',''))"" 2>/dev/null)",python3 -c,W4-done
